transaction_id,timestamp,amount,merchant_category,card_present,country_code,hour_of_day,day_of_week,customer_id,merchant_id,num_prev_txn_1h,distance_from_home_km,is_anomaly
TXN0003465,2024-01-13 00:45:00,394.13,grocery,True,US,1,5,4898,1145,0,8.4,0
TXN0001760,2024-01-07 02:40:00,8.07,retail,True,US,4,6,2004,1864,1,5.5,0
TXN0002304,2024-01-09 00:00:00,51.58,restaurant,False,US,1,1,1975,1472,2,8.2,0
TXN0003723,2024-01-13 22:15:00,98.84,online,True,US,22,5,2765,1646,1,1.6,0
TXN0008284,2024-01-29 18:20:00,78.99,restaurant,False,US,18,0,4480,1315,3,7.7,0
TXN0004993,2024-01-18 08:05:00,14.69,restaurant,True,GB,10,3,4684,1766,2,12.8,0
TXN0008127,2024-01-29 05:15:00,161.52,restaurant,True,US,6,0,4650,1944,3,2.6,0
TXN0003032,2024-01-11 12:40:00,7.57,retail,False,US,12,3,4575,591,0,0.4,0
TXN0007938,2024-01-28 13:30:00,67.48,grocery,True,CA,13,6,4828,1590,3,23.9,0
TXN0003039,2024-01-11 13:15:00,30.37,restaurant,False,US,14,3,2080,644,2,12.6,0
TXN0009655,2024-01-04 07:30:00,3822.42,gas,True,US,1,6,3615,182,0,1247.3,1
TXN0002545,2024-01-09 20:05:00,18.46,grocery,False,US,20,1,1099,1312,0,2.4,0
TXN0002592,2024-01-10 00:00:00,58.19,gas,False,US,2,2,3713,1002,1,3.7,0
TXN0001188,2024-01-05 03:00:00,69.1,restaurant,True,US,4,4,4634,169,2,19.9,0
TXN0007966,2024-01-28 15:50:00,26.6,gas,True,US,16,6,4564,586,1,40.0,0
TXN0006077,2024-01-22 02:25:00,11.32,retail,True,CA,3,0,4175,563,5,15.9,0
TXN0000107,2024-01-01 08:55:00,22.05,retail,True,MX,8,0,3178,323,1,24.4,0
TXN0001315,2024-01-05 13:35:00,299.91,restaurant,True,US,13,4,3508,1094,3,0.2,0
TXN0008187,2024-01-29 10:15:00,9.17,retail,True,US,10,0,1166,243,3,12.0,0
TXN0002753,2024-01-10 13:25:00,37.96,retail,True,US,14,2,4191,344,2,22.9,0
TXN0009753,2024-01-06 08:30:00,3954.85,grocery,False,CN,0,2,1974,882,0,2128.0,1
TXN0006231,2024-01-22 15:15:00,93.46,restaurant,True,US,16,0,4199,694,6,70.1,0
TXN0002876,2024-01-10 23:40:00,6.78,gas,True,GB,0,2,3660,1067,1,2.2,0
TXN0005323,2024-01-19 11:35:00,12.08,grocery,True,US,12,4,4349,1834,3,12.7,0
TXN0000799,2024-01-03 18:35:00,34.7,grocery,True,CA,18,2,1331,1613,0,8.7,0
TXN0003570,2024-01-13 09:30:00,79.11,grocery,True,US,11,5,2200,748,0,9.6,0
TXN0002894,2024-01-11 01:10:00,14.96,restaurant,False,US,3,3,1129,1238,4,1.3,0
TXN0002927,2024-01-11 03:55:00,46.16,grocery,False,US,5,3,1685,1476,1,6.7,0
TXN0008178,2024-01-29 09:30:00,26.19,restaurant,True,US,9,0,4234,226,3,2.5,0
TXN0000971,2024-01-04 08:55:00,29.15,retail,True,US,9,3,1268,1444,0,13.8,0
TXN0006687,2024-01-24 05:15:00,8.99,grocery,False,US,5,2,4575,323,3,16.7,0
TXN0008575,2024-01-30 18:35:00,54.75,online,True,CA,18,1,1082,1840,2,0.7,0
TXN0002020,2024-01-08 00:20:00,33.7,gas,True,US,0,0,1882,896,1,2.0,0
TXN0009054,2024-02-01 10:30:00,56.96,gas,False,US,12,3,4517,396,1,8.6,0
TXN0000952,2024-01-04 07:20:00,58.73,restaurant,False,US,7,3,4733,135,0,19.3,0
TXN0005359,2024-01-19 14:35:00,28.2,gas,True,US,15,4,2758,1146,2,17.4,0
TXN0003857,2024-01-14 09:25:00,33.53,gas,True,US,11,6,2452,1398,0,55.3,0
TXN0005861,2024-01-21 08:25:00,140.7,online,True,US,9,6,4999,298,0,13.6,0
TXN0003145,2024-01-11 22:05:00,51.77,grocery,True,US,0,3,3738,1584,4,15.2,0
TXN0003305,2024-01-12 11:25:00,61.51,grocery,True,US,12,4,2706,1546,0,58.1,0
TXN0003006,2024-01-11 10:30:00,3.1,retail,False,US,11,3,3220,1236,2,6.6,0
TXN0009001,2024-02-01 06:05:00,8.66,grocery,True,US,7,3,2479,1321,3,3.1,0
TXN0007770,2024-01-27 23:30:00,144.76,grocery,False,US,23,5,2083,691,3,9.3,0
TXN0007438,2024-01-26 19:50:00,13.54,retail,True,MX,20,4,2029,1614,1,24.8,0
TXN0007942,2024-01-28 13:50:00,81.02,grocery,True,US,13,6,3540,549,2,45.3,0
TXN0009238,2024-02-02 01:50:00,27.17,grocery,True,US,3,4,1026,1618,1,4.1,0
TXN0001056,2024-01-04 16:00:00,39.64,restaurant,False,US,16,3,2957,1117,2,25.2,0
TXN0003154,2024-01-11 22:50:00,15.96,grocery,False,MX,0,3,2727,1353,3,38.3,0
TXN0003787,2024-01-14 03:35:00,34.85,gas,True,US,3,6,3776,307,1,9.1,0
TXN0009189,2024-02-01 21:45:00,94.79,travel,True,US,21,3,3335,667,1,8.1,0
TXN0007825,2024-01-28 04:05:00,32.79,restaurant,False,US,5,6,1368,577,0,1.5,0
TXN0007539,2024-01-27 04:15:00,26.18,grocery,False,US,6,5,3626,1041,1,3.1,0
TXN0007231,2024-01-26 02:35:00,118.52,retail,True,US,2,4,1896,358,4,6.1,0
TXN0000764,2024-01-03 15:40:00,49.85,grocery,True,CA,16,2,1336,1599,1,7.9,0
TXN0005019,2024-01-18 10:15:00,95.59,retail,True,US,10,3,2300,1878,2,0.4,0
TXN0004903,2024-01-18 00:35:00,41.24,retail,True,US,0,3,1001,182,1,0.2,0
TXN0008093,2024-01-29 02:25:00,37.32,retail,True,GB,2,0,2973,1541,2,6.0,0
TXN0006843,2024-01-24 18:15:00,30.83,grocery,True,US,20,2,3917,1563,0,7.8,0
TXN0002165,2024-01-08 12:25:00,147.92,retail,False,CA,13,0,4672,1664,0,27.3,0
TXN0001862,2024-01-07 11:10:00,180.37,travel,True,US,12,6,1945,1980,2,4.3,0
TXN0007850,2024-01-28 06:10:00,70.48,retail,False,US,8,6,4126,618,1,6.0,0
TXN0009123,2024-02-01 16:15:00,58.23,online,True,CA,18,3,2428,1248,3,4.3,0
TXN0002340,2024-01-09 03:00:00,195.46,retail,True,US,3,1,2284,283,4,2.1,0
TXN0005527,2024-01-20 04:35:00,42.96,retail,True,US,6,5,1394,554,0,3.7,0
TXN0006743,2024-01-24 09:55:00,195.64,retail,False,US,10,2,4657,1334,2,15.9,0
TXN0004003,2024-01-14 21:35:00,486.19,restaurant,True,US,22,6,2914,1982,1,0.5,0
TXN0001123,2024-01-04 21:35:00,24.95,retail,True,US,23,3,1449,1688,1,7.5,0
TXN0008709,2024-01-31 05:45:00,17.46,restaurant,True,US,6,2,2929,1503,2,16.1,0
TXN0004049,2024-01-15 01:25:00,35.63,retail,False,US,3,0,3519,481,1,33.9,0
TXN0007640,2024-01-27 12:40:00,21.65,grocery,True,US,13,5,1340,1316,1,6.1,0
TXN0000765,2024-01-03 15:45:00,3.89,travel,True,US,16,2,2361,960,2,3.9,0
TXN0002344,2024-01-09 03:20:00,87.71,travel,True,CA,5,1,4201,1670,1,22.4,0
TXN0004071,2024-01-15 03:15:00,27.42,grocery,True,US,5,0,4165,768,2,8.4,0
TXN0007216,2024-01-26 01:20:00,5.07,grocery,True,US,1,4,3348,1554,2,7.5,0
TXN0004216,2024-01-15 15:20:00,141.38,online,True,US,15,0,2290,546,2,18.8,0
TXN0007952,2024-01-28 14:40:00,32.24,gas,True,US,16,6,1064,1491,1,15.3,0
TXN0005970,2024-01-21 17:30:00,55.98,retail,False,US,19,6,4359,1702,1,15.3,0
TXN0003350,2024-01-12 15:10:00,35.8,grocery,True,US,17,4,2894,428,3,4.3,0
TXN0004695,2024-01-17 07:15:00,51.07,restaurant,True,US,8,2,3074,169,1,10.0,0
TXN0003399,2024-01-12 19:15:00,18.3,gas,True,US,21,4,3044,1946,0,1.3,0
TXN0004081,2024-01-15 04:05:00,93.01,restaurant,True,US,6,0,4670,177,4,22.2,0
TXN0009149,2024-02-01 18:25:00,44.58,retail,True,US,18,3,4149,617,0,4.7,0
TXN0001224,2024-01-05 06:00:00,11.23,online,True,US,7,4,3946,1892,3,22.8,0
TXN0006292,2024-01-22 20:20:00,37.49,grocery,True,US,22,0,2201,601,2,15.5,0
TXN0003122,2024-01-11 20:10:00,75.58,restaurant,False,US,22,3,3141,1854,1,18.5,0
TXN0000510,2024-01-02 18:30:00,5.09,gas,False,US,20,1,2240,241,1,17.2,0
TXN0005794,2024-01-21 02:50:00,10.05,restaurant,True,US,3,6,4138,1310,3,15.3,0
TXN0008181,2024-01-29 09:45:00,4.78,retail,True,US,11,0,4715,1302,2,0.1,0
TXN0009417,2024-02-02 16:45:00,25.76,retail,True,US,16,4,2609,1060,1,26.9,0
TXN0000096,2024-01-01 08:00:00,6.77,online,True,MX,8,0,2095,1869,1,8.5,0
TXN0006681,2024-01-24 04:45:00,5.35,restaurant,True,GB,4,2,3251,640,2,7.1,0
TXN0001512,2024-01-06 06:00:00,97.0,restaurant,True,US,7,5,3467,1498,0,24.3,0
TXN0008791,2024-01-31 12:35:00,205.17,gas,False,US,13,2,3007,1639,2,23.3,0
TXN0000119,2024-01-01 09:55:00,24.85,grocery,True,US,11,0,4779,1237,2,7.4,0
TXN0007791,2024-01-28 01:15:00,5.16,retail,True,US,1,6,3293,444,1,52.4,0
TXN0006517,2024-01-23 15:05:00,11.48,restaurant,True,GB,15,1,1680,310,1,6.7,0
TXN0000033,2024-01-01 02:45:00,12.47,retail,True,US,2,0,3555,1458,0,12.2,0
TXN0007887,2024-01-28 09:15:00,6.29,grocery,False,US,9,6,2115,1613,0,13.7,0
TXN0006830,2024-01-24 17:10:00,24.93,travel,True,US,17,2,4170,1723,1,4.6,0
TXN0005421,2024-01-19 19:45:00,7.85,gas,True,US,21,4,2719,461,2,4.5,0
TXN0001068,2024-01-04 17:00:00,187.57,online,True,US,19,3,2065,148,1,2.2,0
TXN0001347,2024-01-05 16:15:00,13.75,travel,True,US,17,4,2965,1200,0,6.6,0
TXN0004747,2024-01-17 11:35:00,7.57,gas,False,US,12,2,4131,1026,1,0.3,0
TXN0006005,2024-01-21 20:25:00,63.71,online,False,US,21,6,3719,311,0,1.7,0
TXN0006039,2024-01-21 23:15:00,82.18,gas,True,US,0,6,4495,732,1,33.4,0
TXN0003817,2024-01-14 06:05:00,41.26,grocery,True,US,8,6,3760,1182,0,1.5,0
TXN0008446,2024-01-30 07:50:00,176.78,retail,True,US,9,1,3851,905,1,0.2,0
TXN0005269,2024-01-19 07:05:00,13.41,grocery,True,US,7,4,1677,242,2,16.2,0
TXN0006897,2024-01-24 22:45:00,7.81,retail,False,US,23,2,2757,1418,2,1.8,0
TXN0005309,2024-01-19 10:25:00,77.92,grocery,True,US,11,4,2428,1511,2,25.5,0
TXN0000031,2024-01-01 02:35:00,20.33,retail,True,US,3,0,2830,1129,0,5.1,0
TXN0005674,2024-01-20 16:50:00,22.34,gas,False,US,16,5,4152,1588,6,12.6,0
TXN0004386,2024-01-16 05:30:00,23.57,retail,False,US,6,1,4418,1246,4,8.8,0
TXN0000029,2024-01-01 02:25:00,55.53,gas,True,US,2,0,4815,135,1,8.0,0
TXN0004202,2024-01-15 14:10:00,63.35,restaurant,True,US,14,0,2121,113,4,6.7,0
TXN0007507,2024-01-27 01:35:00,12.66,grocery,True,CA,3,5,1570,366,1,13.2,0
TXN0000735,2024-01-03 13:15:00,40.03,gas,True,US,15,2,4168,1880,1,9.7,0
TXN0002067,2024-01-08 04:15:00,31.86,retail,False,GB,6,0,1476,1890,3,10.5,0
TXN0000106,2024-01-01 08:50:00,10.59,restaurant,False,US,8,0,4723,1168,0,32.0,0
TXN0009644,2024-01-04 02:00:00,1206.28,online,False,RO,0,6,3665,448,0,4907.4,1
TXN0008894,2024-01-31 21:10:00,66.69,restaurant,True,US,21,2,3002,339,3,33.0,0
TXN0008020,2024-01-28 20:20:00,200.09,online,True,US,22,6,4927,1011,2,5.0,0
TXN0002232,2024-01-08 18:00:00,7.07,retail,False,US,18,0,1237,1132,0,32.6,0
TXN0000993,2024-01-04 10:45:00,160.42,restaurant,False,US,12,3,3954,658,4,8.8,0
TXN0009412,2024-02-02 16:20:00,16.38,retail,False,US,17,4,2990,477,3,5.5,0
TXN0007058,2024-01-25 12:10:00,199.27,online,True,US,14,3,4089,368,3,3.4,0
TXN0006789,2024-01-24 13:45:00,15.68,gas,False,US,14,2,1831,592,5,1.0,0
TXN0000360,2024-01-02 06:00:00,27.58,travel,True,CA,8,1,4067,1024,0,6.7,0
TXN0000304,2024-01-02 01:20:00,30.77,grocery,True,US,2,1,3865,1683,3,0.3,0
TXN0002627,2024-01-10 02:55:00,192.37,online,False,US,4,2,4433,1190,0,2.5,0
TXN0008965,2024-02-01 03:05:00,110.51,restaurant,False,US,4,3,1009,1982,1,24.2,0
TXN0004513,2024-01-16 16:05:00,13.48,online,False,US,17,1,1682,141,1,18.7,0
TXN0005910,2024-01-21 12:30:00,232.62,online,True,US,12,6,1066,1447,3,11.7,0
TXN0008313,2024-01-29 20:45:00,12.57,restaurant,True,US,21,0,3262,1034,1,9.7,0
TXN0003100,2024-01-11 18:20:00,9.78,retail,True,US,20,3,3327,285,1,17.1,0
TXN0005703,2024-01-20 19:15:00,33.93,online,True,US,21,5,4925,1637,2,10.1,0
TXN0003898,2024-01-14 12:50:00,15.43,restaurant,True,US,14,6,4997,997,0,12.2,0
TXN0005440,2024-01-19 21:20:00,32.89,gas,True,US,23,4,4813,436,0,0.2,0
TXN0007930,2024-01-28 12:50:00,17.37,online,True,US,14,6,2631,597,1,13.5,0
TXN0000621,2024-01-03 03:45:00,34.42,gas,False,US,3,2,3632,243,0,1.0,0
TXN0007235,2024-01-26 02:55:00,134.91,retail,True,US,4,4,2501,588,0,1.6,0
TXN0002498,2024-01-09 16:10:00,17.16,restaurant,True,CA,18,1,3647,1177,3,3.8,0
TXN0000713,2024-01-03 11:25:00,32.64,grocery,True,US,13,2,1942,1661,2,17.4,0
TXN0008403,2024-01-30 04:15:00,70.69,gas,True,US,6,1,3873,1804,0,8.0,0
TXN0002855,2024-01-10 21:55:00,219.3,gas,False,GB,22,2,3406,1124,2,4.5,0
TXN0004269,2024-01-15 19:45:00,26.55,restaurant,True,US,19,0,1904,1327,0,8.4,0
TXN0002908,2024-01-11 02:20:00,7.85,retail,True,US,4,3,4653,1079,1,8.4,0
TXN0008080,2024-01-29 01:20:00,13.74,retail,True,US,2,0,1553,583,1,1.7,0
TXN0004516,2024-01-16 16:20:00,87.44,grocery,True,US,18,1,1668,1584,1,9.9,0
TXN0001261,2024-01-05 09:05:00,37.22,retail,False,US,9,4,3721,193,1,0.0,0
TXN0003160,2024-01-11 23:20:00,31.13,online,True,US,0,3,4158,1524,2,5.9,0
TXN0000970,2024-01-04 08:50:00,23.59,grocery,True,US,10,3,1761,1099,2,2.8,0
TXN0003912,2024-01-14 14:00:00,18.71,grocery,True,US,16,6,2555,677,1,21.4,0
TXN0005198,2024-01-19 01:10:00,16.12,retail,False,CA,3,4,2717,838,0,8.6,0
TXN0008846,2024-01-31 17:10:00,27.55,restaurant,False,US,17,2,3541,1058,0,5.2,0
TXN0000259,2024-01-01 21:35:00,6.36,travel,False,US,23,0,2196,687,2,53.7,0
TXN0003790,2024-01-14 03:50:00,18.69,restaurant,True,MX,4,6,2334,684,2,8.8,0
TXN0009202,2024-02-01 22:50:00,22.85,grocery,True,US,23,3,3695,1393,1,6.3,0
TXN0000487,2024-01-02 16:35:00,55.5,grocery,True,US,16,1,3252,995,2,6.5,0
TXN0007907,2024-01-28 10:55:00,6.09,restaurant,False,GB,11,6,2833,1240,1,14.8,0
TXN0000518,2024-01-02 19:10:00,97.26,grocery,False,CA,20,1,2366,1875,3,1.0,0
TXN0008342,2024-01-29 23:10:00,7.61,retail,True,GB,0,0,3148,1296,2,1.0,0
TXN0000311,2024-01-02 01:55:00,56.09,travel,False,US,1,1,1796,1609,3,64.1,0
TXN0003231,2024-01-12 05:15:00,202.72,online,True,MX,6,4,4680,438,2,0.8,0
TXN0007932,2024-01-28 13:00:00,97.3,retail,False,US,15,6,3064,1374,1,0.4,0
TXN0007457,2024-01-26 21:25:00,16.61,retail,False,US,23,4,2656,1863,2,19.2,0
TXN0009783,2024-01-06 23:30:00,3025.56,retail,False,US,3,5,1155,802,2,3734.7,1
TXN0005183,2024-01-18 23:55:00,1206.51,retail,True,US,0,3,2039,1177,2,8.3,0
TXN0008076,2024-01-29 01:00:00,30.85,retail,False,MX,3,0,3553,1113,0,23.9,0
TXN0006501,2024-01-23 13:45:00,188.43,restaurant,False,US,15,1,3779,1552,3,2.2,0
TXN0006790,2024-01-24 13:50:00,80.91,retail,False,GB,15,2,1731,906,1,2.9,0
TXN0007772,2024-01-27 23:40:00,24.78,gas,False,US,1,5,4556,1124,0,3.4,0
TXN0002737,2024-01-10 12:05:00,24.97,online,True,US,12,2,1021,1332,1,24.8,0
TXN0007841,2024-01-28 05:25:00,1.89,retail,False,US,6,6,3701,1416,1,0.5,0
TXN0006261,2024-01-22 17:45:00,58.71,gas,True,CA,19,0,1154,428,3,1.7,0
TXN0008205,2024-01-29 11:45:00,21.71,retail,False,US,11,0,1272,1090,1,0.1,0
TXN0001247,2024-01-05 07:55:00,3.78,restaurant,True,US,9,4,4510,376,1,51.0,0
TXN0009335,2024-02-02 09:55:00,3.24,gas,False,US,10,4,1096,875,0,22.5,0
TXN0004194,2024-01-15 13:30:00,153.4,restaurant,True,US,15,0,2066,1266,3,34.4,0
TXN0008000,2024-01-28 18:40:00,49.42,gas,True,CA,19,6,3684,585,2,18.7,0
TXN0007377,2024-01-26 14:45:00,3.5,gas,True,US,14,4,4890,585,4,1.4,0
TXN0003434,2024-01-12 22:10:00,7.13,restaurant,True,US,0,4,3783,609,3,6.5,0
TXN0005381,2024-01-19 16:25:00,14.87,restaurant,True,US,16,4,3604,682,6,6.4,0
TXN0000958,2024-01-04 07:50:00,33.04,online,True,US,7,3,4181,660,0,7.8,0
TXN0000416,2024-01-02 10:40:00,122.37,grocery,True,US,11,1,3032,952,3,38.0,0
TXN0005741,2024-01-20 22:25:00,128.87,online,True,US,22,5,3752,255,3,4.3,0
TXN0006727,2024-01-24 08:35:00,25.63,retail,True,US,10,2,3412,186,2,24.5,0
TXN0004381,2024-01-16 05:05:00,48.19,online,True,US,7,1,4363,1179,1,1.7,0
TXN0005196,2024-01-19 01:00:00,36.07,restaurant,False,US,1,4,2893,1387,2,11.3,0
TXN0001112,2024-01-04 20:40:00,8.31,grocery,True,US,20,3,2187,735,4,8.2,0
TXN0002688,2024-01-10 08:00:00,155.12,retail,True,US,8,2,3417,920,4,0.2,0
TXN0006472,2024-01-23 11:20:00,40.3,restaurant,True,US,11,1,4671,655,3,1.5,0
TXN0008819,2024-01-31 14:55:00,5.55,retail,True,US,16,2,2796,1806,0,1.6,0
TXN0007807,2024-01-28 02:35:00,53.01,retail,False,US,3,6,1135,1325,0,7.3,0
TXN0003410,2024-01-12 20:10:00,2.38,restaurant,True,US,21,4,2321,1331,0,5.0,0
TXN0000080,2024-01-01 06:40:00,57.29,retail,False,CA,8,0,1832,275,3,7.5,0
TXN0004613,2024-01-17 00:25:00,14.89,restaurant,True,GB,0,2,2880,978,2,2.6,0
TXN0001373,2024-01-05 18:25:00,4.82,grocery,False,US,19,4,1036,1535,0,3.6,0
TXN0001509,2024-01-06 05:45:00,38.82,grocery,False,US,6,5,4336,402,2,0.2,0
TXN0006442,2024-01-23 08:50:00,146.5,grocery,True,US,10,1,3572,1264,2,10.6,0
TXN0003070,2024-01-11 15:50:00,92.84,grocery,True,US,16,3,2918,1557,2,0.7,0
TXN0003015,2024-01-11 11:15:00,16.78,gas,True,GB,13,3,4693,1409,3,11.2,0
TXN0004822,2024-01-17 17:50:00,193.19,restaurant,True,CA,17,2,1734,1188,2,1.3,0
TXN0007821,2024-01-28 03:45:00,109.39,retail,True,US,3,6,2214,1648,1,12.6,0
TXN0000092,2024-01-01 07:40:00,19.93,grocery,True,US,7,0,3956,1835,1,1.2,0
TXN0009420,2024-02-02 17:00:00,12.28,retail,False,US,19,4,1194,379,2,24.1,0
TXN0006599,2024-01-23 21:55:00,151.28,grocery,True,CA,22,1,4334,149,1,5.0,0
TXN0004442,2024-01-16 10:10:00,31.67,gas,True,US,10,1,4005,947,2,4.7,0
TXN0007601,2024-01-27 09:25:00,5.59,gas,True,US,11,5,4310,497,3,9.3,0
TXN0003834,2024-01-14 07:30:00,184.44,travel,True,US,8,6,1621,1020,3,3.2,0
TXN0009701,2024-01-05 06:30:00,0.57,online,False,US,4,5,4594,185,1,4754.2,1
TXN0004321,2024-01-16 00:05:00,37.34,online,False,US,2,1,1595,1563,0,2.0,0
TXN0003393,2024-01-12 18:45:00,9.43,restaurant,True,US,19,4,1353,434,0,21.5,0
TXN0004751,2024-01-17 11:55:00,44.72,restaurant,False,US,11,2,1872,651,2,12.5,0
TXN0007228,2024-01-26 02:20:00,10.76,online,False,US,4,4,4620,256,5,2.8,0
TXN0009190,2024-02-01 21:50:00,17.24,retail,True,US,21,3,1730,410,1,11.3,0
TXN0002360,2024-01-09 04:40:00,217.89,retail,True,US,6,1,3913,210,2,2.3,0
TXN0001147,2024-01-04 23:35:00,20.88,restaurant,True,US,1,3,1823,574,1,11.1,0
TXN0005665,2024-01-20 16:05:00,29.53,retail,True,US,16,5,3457,697,0,1.5,0
TXN0008074,2024-01-29 00:50:00,431.65,gas,True,GB,0,0,3598,575,1,41.8,0
TXN0004942,2024-01-18 03:50:00,24.11,restaurant,True,US,3,3,1730,1704,2,12.2,0
TXN0003662,2024-01-13 17:10:00,19.78,restaurant,True,US,19,5,1955,991,3,17.6,0
TXN0001562,2024-01-06 10:10:00,12.43,gas,True,US,11,5,4148,1180,2,2.4,0
TXN0004112,2024-01-15 06:40:00,15.31,retail,True,GB,7,0,4067,1534,0,11.9,0
TXN0009049,2024-02-01 10:05:00,13.71,grocery,True,US,12,3,3841,684,0,12.9,0
TXN0009275,2024-02-02 04:55:00,124.51,retail,True,US,4,4,4291,1532,1,3.4,0
TXN0008537,2024-01-30 15:25:00,377.8,retail,True,US,15,1,3183,1613,3,2.3,0
TXN0000794,2024-01-03 18:10:00,3.88,retail,True,US,18,2,4701,1682,3,1.4,0
TXN0005853,2024-01-21 07:45:00,5.78,travel,True,US,7,6,2026,1614,1,15.7,0
TXN0007618,2024-01-27 10:50:00,24.39,gas,True,US,12,5,1264,220,2,9.5,0
TXN0001593,2024-01-06 12:45:00,13.8,gas,False,US,14,5,2566,1701,0,1.6,0
TXN0007417,2024-01-26 18:05:00,13.43,online,True,US,19,4,2972,927,2,3.0,0
TXN0005266,2024-01-19 06:50:00,5.43,online,True,US,7,4,1643,700,1,17.7,0
TXN0007146,2024-01-25 19:30:00,228.38,retail,True,US,20,3,4692,934,1,3.4,0
